17776	17778	6
5578	9770	3
5578	929	2
5578	9982	2
1835	6278	2
1835	1664	7
1835	1791	2
1835	6435	2
1835	10037	4
1835	10697	3
1835	11486	2
1835	1931	3
1835	1682	2
1835	1715	4
1835	1644	2
1835	1628	3
1835	1950	2
1835	1643	3
1835	6235	2
1835	131	2
1835	1741	3
1835	6213	2
1835	141	3
1835	1920	2
1835	127	8
1835	1742	3
1835	1596	2
1835	1976	2
1835	1816	2
1835	1744	2
1835	1719	2
1835	11787	3
1835	3666	2
1835	1699	3
1835	6233	2
1835	1762	3
1835	1614	2
1835	1637	2
1835	1578	3
1835	1572	3
1835	1661	4
1835	1591	2
1835	1702	2
1835	1556	3
1835	1851	2
1835	1831	3
1835	11481	2
1835	162	5
1835	1785	2
1835	1995	8
14790	328	2
8606	11088	2
8606	4077	2
8606	3689	2
8606	614	4
8606	4043	2
8606	5548	3
8606	14108	2
8606	1534	3
12376	7786	2
12376	3031	2
13981	4006	2
13981	538	3
13981	4073	2
13981	1262	2
13981	8827	2
13981	8036	3
13981	3587	2
17378	17480	2
17378	16106	2
14371	7156	2
14371	15570	2
14371	13009	2
14371	7195	2
14371	15772	3
14371	2819	3
14371	7212	2
14371	14874	2
14371	7776	2
14371	441	2
14371	7213	2
14371	13619	2
9504	1131	2
9504	14667	2
9504	14651	2
9504	9150	2
9504	8074	2
5072	5058	2
5072	5062	2
5072	5051	2
5072	5050	4
5072	1129	2
5072	5047	3
5072	5077	2
5072	5060	2
5072	5056	3
5072	5052	2
5072	5066	2
5072	15171	2
5072	5049	2
5072	5044	2
1523	11767	2
1523	4517	4
1523	11772	2
1523	10192	2
1523	10231	2
1523	12800	3
1523	8026	3
1523	4522	3
1523	10205	2
1523	9606	2
3382	3360	2
3382	490	2
3382	3311	2
2300	1987	2
2300	2316	4
2300	184	3
2300	12970	2
2300	13006	2
2300	166	4
2300	1728	2
2300	1950	2
2300	12458	6
2300	3067	5
2300	6318	3
2300	164	2
2300	6249	2
2300	2304	2
2300	1898	2
2300	1626	3
2300	1637	2
2300	7547	2
2300	2297	4
2300	1676	3
2300	3679	3
2300	2320	2
2300	1565	3
2300	2313	5
2300	199	4
2300	163	3
2300	173	2
2300	2331	17
2300	2273	2
2300	2323	2
2300	162	3
402	15067	3
402	1153	2
402	2607	2
3423	10579	3
3423	17779	3
3423	11307	2
3423	5678	2
3423	4317	2
3423	3884	2
3423	701	2
3423	6963	3
3423	12633	2
3423	8699	2
3423	3533	2
3423	5745	2
3423	4279	3
3423	6691	2
3423	13403	3
3423	10644	2
3423	3310	2
3423	2018	2
3423	396	2
11385	7081	2
11385	11383	2
11385	2719	2
11385	11384	2
11385	2132	2
11385	11040	2
11385	11238	2
11385	11306	2
11385	5643	2
6198	1688	5
6198	1950	2
2235	9677	2
2235	5144	2
2235	8953	2
2235	9521	3
2235	4561	2
2235	12883	2
2235	9657	2
2235	285	8
2235	9658	2
2235	9663	6
2235	974	2
2235	5147	2
2235	5096	2
2235	9536	2
2235	2227	2
2235	9671	2
2235	1261	3
2235	10346	2
2235	9665	2
2235	2238	2
2235	9661	2
2235	9662	2
2235	5111	2
2235	12888	2
2235	12132	2
2235	13669	2
2235	52	2
2235	9691	2
2235	990	2
2235	13462	2
2235	5119	2
11494	1662	2
11494	10033	4
11494	1835	2
11494	6247	2
11494	11486	3
11494	1680	2
11494	1639	2
11494	1711	2
11494	11481	2
11494	3665	2
11494	1995	2
11494	1718	3
11494	208	2
11494	11492	2
3409	3405	2
3409	2076	2
3409	3223	2
3409	8625	2
8675	11076	2
8181	1324	2
8181	1325	2
8181	1291	4
8181	1343	2
8181	1385	2
8181	8159	3
8181	1342	2
8181	2447	2
